ID,ORIGINAL,TRANSLATE,CRASH,LIMITED
3259,OBJECT_CHAIR_01,Стул деревянный,Ландшафт (не поднять),0
3260,OBJECT_TABLE_SMALL_CROPPED_01,Стол деревянный круглый 1,Ландшафт (не поднять),0
3261,OBJECT_TABLE_LARGE_RECTANGULAR_01,Стол деревянный прямоугольный 1,Ландшафт (не поднять),0
3262,OBJECT_TABLE_MEDIUM_RECTANGULAR_01,Стол деревянный прямоугольный 2,Ландшафт (не поднять),0
3263,OBJECT_TABLE_MEDIUM_RECTANGULAR_01D,Стол деревянный прямоугольный 3,Ландшафт (не поднять),0
3264,OBJECT_TABLE_SMALL_SQUARE_01,Стол деревянный квадратный 1,Ландшафт (не поднять),0
3265,OBJECT_TABLE_SMALL_SQUARE_01D,Стол деревянный квадратный 2,Ландшафт (не поднять),0
3266,OBJECT_TABLE_LARGE_ROUND_01,Стол деревянный круглый 2,Ландшафт (не поднять),0
3267,OBJECT_TABLE_SMALL_ROUND_01,Стол деревянный круглый 3,Ландшафт (не поднять),0
3268,OBJECT_CUPBOARD_MEDIUM,Шкаф маленький 1 (используемый),Ландшафт (не поднять),0
3269,OBJECT_CUPBOARD_TALL,Шкаф 1 (используемый),Ландшафт (не поднять),0
3270,OBJECT_CUPBOARD_TALL_SPLIT,Шкаф 2 (используемый),Ландшафт (не поднять),0
3271,OBJECT_CABINET_SMALL,Шкаф маленький 2 (используемый),Ландшафт (не поднять),0
3272,OBJECT_PICTURE_CIRCULAR_01,Картина 1,Ландшафт (не поднять),0
3273,OBJECT_PICTURE_CIRCULAR_02,Картина 2,Ландшафт (не поднять),0
3274,OBJECT_PICTURE_CIRCULAR_03,Картина 3,Ландшафт (не поднять),0
3275,OBJECT_PICTURE_CIRCULAR_04,Картина 4,Ландшафт (не поднять),0
3276,OBJECT_PICTURE_CIRCULAR_05,Картина 5,Ландшафт (не поднять),0
3277,OBJECT_PICTURE_FRAMED_01,Картина 6,Ландшафт (не поднять),0
3278,OBJECT_PICTURE_FRAMED_02,Картина 7,Ландшафт (не поднять),0
3279,OBJECT_PICTURE_FRAMED_03,Картина 8,Ландшафт (не поднять),0
3280,OBJECT_PICTURE_FRAMED_04,Картина 9,Ландшафт (не поднять),0
3281,OBJECT_PICTURE_FRAMED_05,Картина 10,Ландшафт (не поднять),0
3282,OBJECT_PICTURE_FRAMED_06,Картина 11,Ландшафт (не поднять),0
3283,OBJECT_PICTURE_FRAMED_07,Картина 12,Ландшафт (не поднять),0
3284,OBJECT_PICTURE_FRAMED_08,Картина 13,Ландшафт (не поднять),0
3285,OBJECT_SHOP_COUNTER_LEFT_01,Часть барной стойки 1,Ландшафт (не поднять),0
3286,OBJECT_SHOP_COUNTER_RIGHT_01,Часть барной стойки 2,Ландшафт (не поднять),0
3287,OBJECT_SHOP_COUNTER_STRAIGHT_01,Часть барной стойки 3,Ландшафт (не поднять),0
3288,OBJECT_TABLE_SMALL,Небольшой стол (используемый),Ландшафт (не поднять),0
3289,OBJECT_SHOP_TABLE,Небольшой стол (неиспользуемый),Ландшафт (не поднять),0
3290,OBJECT_BHF_SIGNPOST_01,Табличка о продаже дома,Ландшафт (не поднять),0
3291,OBJECT_BHF_BED_LEVEL_01,Нищенская кровтаь (используемая),Ландшафт (не поднять),0
3292,OBJECT_BHF_BED_LEVEL_02,Кровать белая (используемая),Ландшафт (не поднять),0
3293,OBJECT_BHF_BED_LEVEL_03,Кровать синяя (используемая),Ландшафт (не поднять),0
3294,OBJECT_BHF_BED_LEVEL_04,Кровать красная богатая (используемая),Ландшафт (не поднять),0
3295,OBJECT_BHF_BOOKSHELF_LEVEL_01,Книжная полка (книг мало) 1,Ландшафт (не поднять),0
3296,OBJECT_BHF_BOOKSHELF_LEVEL_02,Книжная полка (книг мало) 2,Ландшафт (не поднять),0
3297,OBJECT_BHF_BOOKSHELF_LEVEL_03,Книжна полка,Ландшафт (не поднять),0
3298,OBJECT_BHF_BOOKSHELF_LEVEL_04,Богатая книжная полка,Ландшафт (не поднять),0
3299,OBJECT_BHF_CHAIR_LEVEL_01,Стул из пня,Ландшафт (не поднять),0
3300,OBJECT_BHF_CHAIR_LEVEL_02,Стул деревянный,Ландшафт (не поднять),0
3301,OBJECT_BHF_CHAIR_LEVEL_03,Стул деревянный с синей хренью на сидении,Ландшафт (не поднять),0
3302,OBJECT_BHF_CHAIR_LEVEL_04,Богатый красный стул,Ландшафт (не поднять),0
3303,OBJECT_BHF_CABINET_HIGH_LEVEL_01,Нищенский шкаф,Ландшафт (не поднять),0
3304,OBJECT_BHF_CABINET_HIGH_LEVEL_02,Шкаф,Ландшафт (не поднять),0
3305,OBJECT_BHF_CABINET_HIGH_LEVEL_03,Богатый шкаф 1,Ландшафт (не поднять),0
3306,OBJECT_BHF_CABINET_HIGH_LEVEL_04,Богатый шкаф 2,Ландшафт (не поднять),0
3307,OBJECT_BHF_CABINET_LOW_LEVEL_01,Нищенский сундук,Ландшафт (не поднять),0
3308,OBJECT_BHF_CABINET_LOW_LEVEL_02,Шкафчик,Ландшафт (не поднять),0
3309,OBJECT_BHF_CABINET_LOW_LEVEL_03,Богатый шкафчик 1,Ландшафт (не поднять),0
3310,OBJECT_BHF_CABINET_LOW_LEVEL_04,Богатый шкафчик 2,Ландшафт (не поднять),0
3311,OBJECT_BHF_DOOR_BS_LEVEL_02,Дверь в дом (можно сломать),Ландшафт (не поднять),0
3312,OBJECT_BHF_DOOR_BS_LEVEL_03,Богатая дверь в дом (можно сломать) 1,Ландшафт (не поднять),0
3313,OBJECT_BHF_DOOR_BS_LEVEL_04,Богатая дверь в дом (можно сломать) 2,Ландшафт (не поднять),0
3314,OBJECT_BHF_DOOR_HKC_LEVEL_02,Серая дверь (можно слмать),Ландшафт (не поднять),0
3315,OBJECT_BHF_DOOR_HKC_LEVEL_03,Коричневая дверь (можно сломать) 1,Ландшафт (не поднять),0
3316,OBJECT_BHF_DOOR_HKC_LEVEL_04,Коричневая дверь (можно сломать) 2,Ландшафт (не поднять),0
3317,OBJECT_BHF_DOOR_SS_LEVEL_02,Дверь заснеженная (можно сломать) 1,Ландшафт (не поднять),0
3318,OBJECT_BHF_DOOR_SS_LEVEL_03,Дверь заснеженная (можно сломать) 2,Ландшафт (не поднять),0
3319,OBJECT_BHF_DOOR_SS_LEVEL_04,Дверь заснеженная (можно сломать) 3,Ландшафт (не поднять),0
3320,OBJECT_BHF_TABLELAMP_LIT_LEVEL_01,Свет 1 (лучше еще проверить),Ландшафт (не поднять),0
3321,OBJECT_BHF_TABLELAMP_UNLIT_LEVEL_01,Свет 2 (лучше еще проверить),Ландшафт (не поднять),0
3322,OBJECT_BHF_TABLELAMP_LIT_LEVEL_02,Свеча 1,Ландшафт (не поднять),0
3323,OBJECT_BHF_TABLELAMP_UNLIT_LEVEL_02,Свеча 2,Ландшафт (не поднять),0
3324,OBJECT_BHF_TABLELAMP_LIT_LEVEL_03,Лампа 1,Ландшафт (не поднять),0
3325,OBJECT_BHF_TABLELAMP_UNLIT_LEVEL_03,Лампа 2,Ландшафт (не поднять),0
3326,OBJECT_BHF_TABLELAMP_LIT_LEVEL_04,Лампа 3,Ландшафт (не поднять),0
3327,OBJECT_BHF_TABLELAMP_UNLIT_LEVEL_04,Лампа 4,Ландшафт (не поднять),0
3328,OBJECT_BHF_ORNAMENT_LEVEL_02,Ваза 1,Ландшафт (не поднять),0
3329,OBJECT_BHF_ORNAMENT_LEVEL_03,Ваза 2,Ландшафт (не поднять),0
3330,OBJECT_BHF_ORNAMENT_LEVEL_04_A,Ваза 3,Ландшафт (не поднять),0
3331,OBJECT_BHF_ORNAMENT_LEVEL_04_B,Ваза 4,Ландшафт (не поднять),0
3332,OBJECT_BHF_PICFRAME_LEVEL_03_A,Картина 1,Ландшафт (не поднять),0
3333,OBJECT_BHF_PICFRAME_LEVEL_03_B,Картина 2,Ландшафт (не поднять),0
3334,OBJECT_BHF_PICFRAME_LEVEL_03_C,Картина 3,Ландшафт (не поднять),0
3335,OBJECT_BHF_PICFRAME_LEVEL_03_D,Картина 4,Ландшафт (не поднять),0
3336,OBJECT_BHF_PICFRAME_LEVEL_03_E,Картина 5,Ландшафт (не поднять),0
3337,OBJECT_BHF_PICFRAME_LEVEL_03_F,Картина 6,Ландшафт (не поднять),0
3338,OBJECT_BHF_PICFRAME_LEVEL_04_A,Картина 7,Ландшафт (не поднять),0
3339,OBJECT_BHF_PICFRAME_LEVEL_04_B,Картина 8,Ландшафт (не поднять),0
3340,OBJECT_BHF_PICFRAME_LEVEL_04_C,Картина 9,Ландшафт (не поднять),0
3341,OBJECT_BHF_PICFRAME_LEVEL_04_D,Картина 10,Ландшафт (не поднять),0
3342,OBJECT_BHF_PICFRAME_LEVEL_04_E,Картина 11,Ландшафт (не поднять),0
3343,OBJECT_BHF_PICFRAME_LEVEL_04_F,Картина 12,Ландшафт (не поднять),0
3344,OBJECT_BHF_RUG_LEVEL_03_A,Ковёр 1,Ландшафт (не поднять),0
3345,OBJECT_BHF_RUG_LEVEL_03_B,Ковёр 2,Ландшафт (не поднять),0
3347,OBJECT_HAIR_TEMPLATE,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3348,OBJECT_CLOTHING_FOOTWEAR,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3349,OBJECT_CLOTHING_TROUSERS,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3350,OBJECT_CLOTHING_SHIRT,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3351,OBJECT_CLOTHING_GLOVES,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3352,OBJECT_CLOTHING_HAT,Ничего не появляется,"Ничего не появляется, сбоя нет",0
3379,OBJECT_HERO_HAIR,Разбойничья бандана,Ландшафт (не поднять),0
3380,OBJECT_HERO_HAIR_SHORT_01,Разбойничья бандана,Ландшафт (не поднять),0
3381,OBJECT_HERO_HAIR_PONYTAIL_01,Разбойничья бандана,Ландшафт (не поднять),0
3382,OBJECT_HERO_HAIR_YOUNG_01,Разбойничья бандана,Ландшафт (не поднять),0
3383,OBJECT_HERO_HAIR_MOHAWK_01,Разбойничья бандана,Ландшафт (не поднять),0
3384,OBJECT_HERO_HAIR_PLATS_01,Разбойничья бандана,Ландшафт (не поднять),0
3385,OBJECT_HERO_HAIR_BASIN_01,Разбойничья бандана,Ландшафт (не поднять),0
3386,OBJECT_HERO_HAIR_BUZZ_01,Разбойничья бандана,Ландшафт (не поднять),0
3387,OBJECT_HERO_NO_HAIR_01,Разбойничья бандана,Ландшафт (не поднять),0
3388,OBJECT_HERO_BEARD_01,Разбойничья бандана,Ландшафт (не поднять),0
3389,OBJECT_HERO_BEARD_02,Разбойничья бандана,Ландшафт (не поднять),0
3390,OBJECT_HERO_BEARD_03,Разбойничья бандана,Ландшафт (не поднять),0
3391,OBJECT_HERO_BEARD_MUTTON_01,Разбойничья бандана,Ландшафт (не поднять),0
3392,OBJECT_HERO_BEARD_LONG_01,Разбойничья бандана,Ландшафт (не поднять),0
3393,OBJECT_HERO_BEARD_CHIN_01,Разбойничья бандана,Ландшафт (не поднять),0
3394,OBJECT_HERO_BEARD_STRIP_01,Разбойничья бандана,Ландшафт (не поднять),0
3395,OBJECT_HERO_BEARD_TRAMP_01,Разбойничья бандана,Ландшафт (не поднять),0
3396,OBJECT_HERO_BEARD_WATSON_01,Разбойничья бандана,Ландшафт (не поднять),0
3397,OBJECT_HERO_NO_BEARD_OR_TASH,Разбойничья бандана,Ландшафт (не поднять),0
3398,OBJECT_HERO_TASHTRADER_01,Разбойничья бандана,Ландшафт (не поднять),0
3399,OBJECT_HERO_TASHKHG_01,Разбойничья бандана,Ландшафт (не поднять),0
3400,OBJECT_HERO_TASHSHERIFF_01,Разбойничья бандана,Ландшафт (не поднять),0
3401,OBJECT_HERO_TASHCHINESE_01,Разбойничья бандана,Ландшафт (не поднять),0
3402,OBJECT_HERO_TASHSMALL_01,Разбойничья бандана,Ландшафт (не поднять),0
3403,OBJECT_HERO_TASHSMITH_01,Разбойничья бандана,Ландшафт (не поднять),0
3404,OBJECT_HERO_BOOTS,Крестьянские башмаки,Одежда,0
3405,OBJECT_HERO_BOOTS_GOOD,Светлые крестьянские башмаки,Одежда,0
3406,OBJECT_HERO_BOOTS_EVIL,Темные крестьянские башмаки,Одежда,0
3407,OBJECT_HERO_BOOTS_STEALTH,Сапоги ассасина,Одежда,0
3408,OBJECT_HERO_BOOTS_STEALTH_RED,Сапоги Огненного ассасина,Одежда,0
3409,OBJECT_HERO_BOOTS_PLATINUM,Боевые сапоги Архона,Одежда,0
3410,OBJECT_HERO_BOOTS_ARMOUR,Латные сапоги,Одежда,0
3411,OBJECT_HERO_BOOTS_BANDITCAMP,Разбойничьи сапоги,Одежда,0
3412,OBJECT_HERO_BOOTS_ARMOUR_EVIL,Темные латные сапоги,Одежда,0
3413,OBJECT_HERO_BOOTS_ARMOUR_GOOD,Светлые латные сапоги,Одежда,0
3414,OBJECT_HERO_BOOTS_WILLROBE,Волшебные башмаки,Одежда,0
3415,OBJECT_HERO_BOOTS_WILLROBE_GOOD,Светлые волшебные башмаки,Одежда,0
3416,OBJECT_HERO_BOOTS_WILLROBE_EVIL,Темные волшебные башмаки,Одежда,0
3417,OBJECT_HERO_BOOTS_LEATHERARMOUR,Кожаные сапоги,Одежда,0
3418,OBJECT_HERO_BOOTS_LEATHERARMOUR_GOOD,Светлые кожаные сапоги,Одежда,0
3419,OBJECT_HERO_BOOTS_LEATHERARMOUR_EVIL,Темные кожаные сапоги,Одежда,0
3420,OBJECT_HERO_BOOTS_GUARD,Сапоги стражника,Одежда,0
3421,OBJECT_HERO_BOOTS_APPRENTICE,Ученические сапоги,Одежда,0
3422,OBJECT_HERO_BOOTS_CHAINMAIL,Кольчужные сапоги,Одежда,0
3423,OBJECT_HERO_BOOTS_CHAINMAIL_GOOD,Светлые кольчужные сапоги,Одежда,0
3424,OBJECT_HERO_BOOTS_CHAINMAIL_EVIL,Темные кольчужные сапоги,Одежда,0
3425,OBJECT_HERO_NO_BOOTS,Босиком,Одежда,0
3426,OBJECT_HERO_TROUSERS,Крестьянские штаны,Одежда,0
3427,OBJECT_HERO_TROUSERS_GOOD,Светлые крестьянские штаны,Одежда,0
3428,OBJECT_HERO_TROUSERS_EVIL,Темные крестьянские штаны,Одежда,0
3429,OBJECT_HERO_TROUSERS_STEALTH,Штаны ассасина,Одежда,0
3430,OBJECT_HERO_TROUSERS_STEALTH_RED,Штаны Огненного ассасина,Одежда,0
3431,OBJECT_HERO_TROUSERS_PLATINUM,Боевые поножи Архона,Одежда,0
3432,OBJECT_HERO_TROUSERS_ARMOUR,Латные поножи,Одежда,0
3433,OBJECT_HERO_TROUSERS_BANDITCAMP,Разбойничьи штаны,Одежда,0
3434,OBJECT_HERO_TROUSERS_ARMOUR_EVIL,Темные латные поножи,Одежда,0
3435,OBJECT_HERO_TROUSERS_ARMOUR_GOOD,Светлые латные поножи,Одежда,0
3436,OBJECT_HERO_TROUSERS_WILLROBE,Мантия мага (низ),Одежда,0
3437,OBJECT_HERO_TROUSERS_WILLROBE_GOOD,Светлая мантия мага (низ),Одежда,0
3438,OBJECT_HERO_TROUSERS_WILLROBE_EVIL,Темная мантия мага (низ),Одежда,0
3439,OBJECT_HERO_TROUSERS_LEATHERARMOUR,Кожаные штаны,Одежда,0
3440,OBJECT_HERO_TROUSERS_LEATHERARMOUR_GOOD,Светлые кожаные штаны,Одежда,0
3441,OBJECT_HERO_TROUSERS_LEATHERARMOUR_EVIL,Темные кожаные штаны,Одежда,0
3442,OBJECT_HERO_TROUSERS_GUARD,Штаны стражника,Одежда,0
3443,OBJECT_HERO_TROUSERS_APPRENTICE,Ученические штаны,Одежда,0
3444,OBJECT_HERO_TROUSERS_CHAINMAIL,Кольчужные штаны,Одежда,0
3445,OBJECT_HERO_TROUSERS_CHAINMAIL_GOOD,Светлые кольчужные штаны,Одежда,0
3446,OBJECT_HERO_TROUSERS_CHAINMAIL_EVIL,Темные кольчужные штаны,Одежда,0
3447,OBJECT_HERO_TROUSERS_DRESS,Юбка,Одежда,0
3448,OBJECT_HERO_TROUSERS_DRESS_GOOD,Светлая юбка,Одежда,0
3449,OBJECT_HERO_TROUSERS_DRESS_EVIL,Темная юбка,Одежда,0
3450,OBJECT_HERO_NO_TROUSERS,Штанов нет!,Одежда,0
3451,OBJECT_HERO_SHIRT,Крестьянская рубаха,Одежда,0
3452,OBJECT_HERO_SHIRT_GOOD,Светлая крестьянская рубаха,Одежда,0
3453,OBJECT_HERO_SHIRT_EVIL,Темная крестьянская рубаха,Одежда,0
3454,OBJECT_HERO_SHIRT_STEALTH,Рубаха ассасина,Одежда,0
3455,OBJECT_HERO_SHIRT_STEALTH_RED,Рубаха Огненного ассасина,Одежда,0
3456,OBJECT_HERO_SHIRT_PLATINUM,Боевая кириса Архона,Одежда,0
3457,OBJECT_HERO_SHIRT_ARMOUR,Латный доспех,Одежда,0
3458,OBJECT_HERO_SHIRT_BANDITCAMP,Разбойничья куртка,Одежда,0
3459,OBJECT_HERO_SHIRT_ARMOUR_EVIL,Темный латных доспех,Одежда,0
3460,OBJECT_HERO_SHIRT_ARMOUR_GOOD,Светлый латный доспех,Одежда,0
3461,OBJECT_HERO_SHIRT_WILLROBE,Мантия мага (верх),Одежда,0
3462,OBJECT_HERO_SHIRT_WILLROBE_GOOD,Светлая мантия мага (верх),Одежда,0
3463,OBJECT_HERO_SHIRT_WILLROBE_EVIL,Темная мантия мага (верх),Одежда,0
3464,OBJECT_HERO_SHIRT_LEATHERARMOUR,Кожаный доспех,Одежда,0
3465,OBJECT_HERO_SHIRT_LEATHERARMOUR_GOOD,Светлый кожаный доспех,Одежда,0
3466,OBJECT_HERO_SHIRT_LEATHERARMOUR_EVIL,Темный кожаный доспех,Одежда,0
3467,OBJECT_HERO_SHIRT_GUARD,Куртка стражника,Одежда,0
3468,OBJECT_HERO_SHIRT_APPRENTICE_HOODUP,Ученическая куртка с капюшоном,Одежда,0
3469,OBJECT_HERO_SHIRT_APPRENTICE,Ученическая куртка,Одежда,0
3470,OBJECT_HERO_SHIRT_CHAINMAIL,Кольчужная рубаха,Одежда,0
3471,OBJECT_HERO_SHIRT_CHAINMAIL_GOOD,Светлая кольчужная рубаха,Одежда,0
3472,OBJECT_HERO_SHIRT_CHAINMAIL_EVIL,Темная кольчужная рубаха,Одежда,0
3473,OBJECT_HERO_SHIRT_DRESS,Блузка,Одежда,0
3474,OBJECT_HERO_SHIRT_DRESS_GOOD,Светлая блузка,Одежда,0
3475,OBJECT_HERO_SHIRT_DRESS_EVIL,Темная блузка,Одежда,0
3476,OBJECT_HERO_NO_SHIRT,Обнажен по пояс,Одежда,0
3477,OBJECT_HERO_GLOVES,Крестьянские рукавицы,Одежда,0
3478,OBJECT_HERO_GLOVES_GOOD,Светлые крестьянские рукавицы,Одежда,0
3479,OBJECT_HERO_GLOVES_EVIL,Темные крестьянские рукавицы,Одежда,0
3480,OBJECT_HERO_GLOVES_STEALTH,Перчатки ассасина,Одежда,0
3481,OBJECT_HERO_GLOVES_STEALTH_RED,Перчатки Огненного ассасина,Одежда,0
3482,OBJECT_HERO_GLOVES_PLATINUM,Боевые рукавицы Архона,Одежда,0
3483,OBJECT_HERO_GLOVES_ARMOUR,Латные перчатки,Одежда,0
3484,OBJECT_HERO_GLOVES_BANDITCAMP,Разбойничьи рукавицы,Одежда,0
3485,OBJECT_HERO_GLOVES_ARMOUR_EVIL,Темные латные перчатки,Одежда,0
3486,OBJECT_HERO_GLOVES_ARMOUR_GOOD,Светлые латные перчатки,Одежда,0
3487,OBJECT_HERO_GLOVES_WILLROBE,Волшебные перчатки,Одежда,0
3488,OBJECT_HERO_GLOVES_WILLROBE_GOOD,Светлые волшебные перчатки,Одежда,0
3489,OBJECT_HERO_GLOVES_WILLROBE_EVIL,Темные волшебные перчатки,Одежда,0
3490,OBJECT_HERO_GLOVES_LEATHERARMOUR,Кожаные перчатки,Одежда,0
3491,OBJECT_HERO_GLOVES_LEATHERARMOUR_GOOD,Светлые кожаные перчатки,Одежда,0
3492,OBJECT_HERO_GLOVES_LEATHERARMOUR_EVIL,Темные кожаные перчатки,Одежда,0
3493,OBJECT_HERO_GLOVES_GUARD,Рукавицы стражника,Одежда,0
3494,OBJECT_HERO_GLOVES_APPRENTICE,Ученические рукавицы,Одежда,0
3495,OBJECT_HERO_GLOVES_CHAINMAIL,Кольчужные перчатки,Одежда,0
3496,OBJECT_HERO_GLOVES_CHAINMAIL_GOOD,Светлые кольчужные перчатки,Одежда,0
3497,OBJECT_HERO_GLOVES_CHAINMAIL_EVIL,Темные кольчужные перчатки,Одежда,0
3498,OBJECT_HERO_GLOVES_DRESS,Перчатки,Одежда,0
3499,OBJECT_HERO_GLOVES_DRESS_GOOD,Светлые перчатки,Одежда,0
3500,OBJECT_HERO_GLOVES_DRESS_EVIL,Темные перчатки,Одежда,0
3501,OBJECT_HERO_NO_GLOVES,Голые руки,Одежда,0
3502,OBJECT_HERO_HAT_BANDITCAMP,Разбойничья бандана,Одежда,0
3503,OBJECT_HERO_HAT_PIMP,Сутенерская шляпа,Одежда,0
3504,OBJECT_HERO_HAT_JOB_MASK,Маска Джека-из-Тени,Одежда,0
3505,OBJECT_HERO_HAT_WIZARD,Волшебная шляпа,Одежда,0
3506,OBJECT_HERO_HAT_WIZARD_EVIL,Темная волшебная шляпа,Одежда,0
3507,OBJECT_HERO_HAT_WIZARD_GOOD,Светлая волшебная шляпа,Одежда,0
3508,OBJECT_HERO_HAT_CHICKEN,Курий Шлем,Одежда,0
3509,OBJECT_HERO_HAT_FISHERMAN,Рыбачья шляпа,Одежда,0
3510,OBJECT_HERO_HAT_WHOREWIG,Рыжий парик,Одежда,0
3511,OBJECT_HERO_HAT_GUARD,Шляпа стражника,Одежда,0
3512,OBJECT_HERO_HELMET_PLATINUM,Боевой шлем Архона,Одежда,0
3513,OBJECT_HERO_HELMET_DEMONIC_HELM,Шлем воина-беса,Одежда,0
3514,OBJECT_HERO_HELMET_DEMONIC_HELM_GOOD,Шлем святого воина,Одежда,0
3515,OBJECT_HERO_HELMET_CHAINMAIL,Кольчужный шлем,Одежда,0
3516,OBJECT_HERO_HELMET_CHAINMAIL_GOOD,Светлый кольчужный шлем,Одежда,0
3517,OBJECT_HERO_HELMET_CHAINMAIL_EVIL,Темный кольчужный шлем,Одежда,0
3518,OBJECT_HERO_NO_HAT,Ничегошеньки,Одежда,0
3519,OBJECT_HERO_HORNS,Бандана,Ландшафт (не поднять),0
3520,OBJECT_CHAPEL_EVIL_FONT,Чаша для пожертвований,Ландшафт (не поднять),0
3521,OBJECT_DARKWOOD_SPIDERSWEB_01,Паутина,Ландшафт (не поднять),0
3522,OBJECT_DARKWOOD_BURROW_01,Корень дерева,Ландшафт (не поднять),0
3523,OBJECT_DARKWOOD_BURROW_02,Корень дерева,Ландшафт (не поднять),0
3524,OBJECT_DARKWOOD_BURROW_03,Корень дерева,Ландшафт (не поднять),0
3525,OBJECT_DARKWOOD_FENCE_GATE,Забор,Ландшафт (не поднять),0
3526,OBJECT_DARKWOOD_FENCE_POST,Кол от забора,Ландшафт (не поднять),0
3527,OBJECT_DARKWOOD_FENCE_SINGLE,Забор,Ландшафт (не поднять),0
3528,OBJECT_DARKWOOD_FENCE_TRIPLE,Забор,Ландшафт (не поднять),0
3529,OBJECT_DARKWOOD_CAVE_ENTRANCE_01,Ландшафт входа в пещеру,Ландшафт (не поднять),0
3530,OBJECT_DW_BULBSTOOL_SINGLE,Снежок,Ландшафт (не поднять),0
3531,OBJECT_DW_BULBSTOOL_CLUMP_BIG,Снежки,Ландшафт (не поднять),0
3532,OBJECT_DW_BULBSTOOL_CLUMP_MEDIUM,Снежки,Ландшафт (не поднять),0
3533,OBJECT_DW_BULBSTOOL_CLUMP_SMALL,Снежки,Ландшафт (не поднять),0
3534,OBJECT_DW_THORNBUSH,Трава,Ландшафт (не поднять),0
3535,OBJECT_DW_THORNBUSH_SMALL,Трава,Ландшафт (не поднять),0
3536,OBJECT_DARKWOOD_TREE_HOLLOW,Бревно,Ландшафт (не поднять),0
3537,OBJECT_DARKWOOD_TREESTUMP_01,Пень,Ландшафт (не поднять),0
3538,OBJECT_DARKWOOD_TREESTUMP_02,Пень,Ландшафт (не поднять),0
3539,OBJECT_DARKWOOD_TREESTUMP_03,Пень,Ландшафт (не поднять),0
3540,OBJECT_DARKWOOD_TREESTUMP_04,Пень,Ландшафт (не поднять),0
3541,OBJECT_DARKWOOD_TREESTUMP_05,Пень,Ландшафт (не поднять),0
3542,OBJECT_DW_TREE_01,Дерево,Ландшафт (не поднять),0
3543,OBJECT_DW_TREE_02,Дерево,Ландшафт (не поднять),0
3544,OBJECT_DW_TREE_03,Дерево,Ландшафт (не поднять),0
3545,OBJECT_DW_WHIPPYBRANCHES,Кустарник,Ландшафт (не поднять),0
3546,OBJECT_DW_TREE_SMALL,Дерево,Ландшафт (не поднять),0
3547,OBJECT_DW_ROOTS_01,Дерево,Ландшафт (не поднять),0
3548,OBJECT_DW_ROOTS_02,Дерево,Ландшафт (не поднять),0
3549,OBJECT_DW_ROOTS_03,Корень,Ландшафт (не поднять),0
3550,OBJECT_DW_ROOTS_04,Корень,Ландшафт (не поднять),0
3551,OBJECT_DW_ROOTS_05,Корень,Ландшафт (не поднять),0
3552,OBJECT_DW_ROOTS_06,Корень,Ландшафт (не поднять),0
3553,OBJECT_DW_ROOTS_07,Корень,Ландшафт (не поднять),0
3554,OBJECT_DW_ROOTS_08,Корень,Ландшафт (не поднять),0
3555,OBJECT_BORDELLO_BAR_01,Барная стойка,Ландшафт (не поднять),0
3556,OBJECT_BORDELLO_BED_01,Кровать,Ландшафт (не поднять),0
3557,OBJECT_BORDELLO_CHANDELIER,Люстра,Ландшафт (не поднять),0
3558,OBJECT_BORDELLO_IRON_MAIDEN,Клетка,Ландшафт (не поднять),0
3559,OBJECT_BORDELLO_SIGN,Табличка с женщинами,Ландшафт (не поднять),0
3560,OBJECT_BORDELLO_SOFA_01,Диван,Ландшафт (не поднять),0
3561,OBJECT_BORDELLO_STATUE_01,Статуя девушки,Ландшафт (не поднять),0
3562,OBJECT_BORDELLO_STATUE_02,Статуя девушки,Ландшафт (не поднять),0
3563,OBJECT_BORDELLO_STATUE_03,Статуя Ядвиги,Ландшафт (не поднять),0
3564,OBJECT_BORDELLO_STATUE_SEARCHABLE,Статуя девушки,Ландшафт (не поднять),0
3565,OBJECT_BORDELLO_STOOL_01,Табурет,Ландшафт (не поднять),0
3566,OBJECT_BORDELLO_TORTURE_SHACKLES_01,Цепи,Ландшафт (не поднять),0
3567,OBJECT_BORDELLO_TORTURE_TABLE_STRETCHING,Железная кровать с цепями,Ландшафт (не поднять),0
3568,OBJECT_BORDELLO_LAMP_LIT_01,Фонарный столб,Ландшафт (не поднять),0
3569,OBJECT_BORDELLO_LAMP_UNLIT_01,Фонарный столб,Ландшафт (не поднять),0
3570,OBJECT_BORDELLO_SCONCE_01,Подсвечник,Ландшафт (не поднять),0
3571,OBJECT_BORDELLO_SCONCE_OFF_01,Подсвечник,Ландшафт (не поднять),0
3572,OBJECT_BORDELLO_TABLE_01,Стол со стульями,Ландшафт (не поднять),0
3573,OBJECT_BORDELLO_ROPEFENCE_01,Ограда с веревкой,Ландшафт (не поднять),0
3574,OBJECT_BORDELLO_ROPEFENCE_POST_01,Деревянный кол,Ландшафт (не поднять),0
3575,OBJECT_SPOOKY_WOOD_HOLLOW_TREE,Огромное дерево,Ландшафт (не поднять),0
3576,OBJECT_SPOOKY_WOOD_BURROW_01,Корни дерева,Ландшафт (не поднять),0
3577,OBJECT_SPOOKY_WOOD_BURROW_02,Корни дерева,Ландшафт (не поднять),0
